title,raw_price,city,description
Mercedes-Benz C 180,10000000 ₸,Алматы,"2018 г., Б/у седан, 1.6 л, бензин, КПП автомат, с пробегом 127 000 км, белый, металлик, литые диски, тонировка, ксенон...  276206₸/мес"
Changan UNI-K,15580000 ₸,Алматы,"2025 г., новый кроссовер, 2 л, бензин, КПП автомат, белый, литые диски, панорамная крыша, рейлинги, дневные ходовые ог...  Новая"
Kia Sportage,12600000 ₸,Алматы,"2024 г., новый кроссовер, 2 л, бензин, КПП автомат, белый, металлик, литые диски, панорамная крыша, багажник, фаркоп,...  Новая"
AITO M8,29000000 ₸,Алматы,"На заказ, 2025 г., новый кроссовер, 1.5 л, гибрид, КПП автомат, 50 км  Новая Проверенный продавец"
Mercedes-Benz G 55 AMG,29000000 ₸,Алматы,"2011 г., Б/у внедорожник, 5.5 л, бензин, КПП автомат, с пробегом 94 000 км, серебристый, тонировка, люк, кенгурятник,..."
Toyota Avensis,4600000 ₸,Алматы,"2005 г., Б/у седан, 1.8 л, бензин, КПП автомат, с пробегом 260 000 км, серебристый, металлик, линзованная оптика, днев...  149547₸/мес"
Toyota Camry,9500000 ₸,Алматы,"2016 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 185 035 км, кондиционер  277831₸/мес"
Lexus GS 300,4900000 ₸,Алматы,"2005 г., Б/у седан, 3 л, бензин, КПП автомат, белый, литые диски, тонировка, люк, спойлер, ксенон, противотуманки, обо...  159300₸/мес"
Land Rover Range Rover,33950000 ₸,Алматы,"2015 г., Б/у внедорожник, 3 л, бензин, КПП автомат, с пробегом 88 000 км, климат-контроль, Куплен у официального дилер...  584575₸/мес"
Lexus NX 300,15890000 ₸,Алматы,"2018 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 106 800 км, Куплена у официального дилера Lexus Center. Э..."
Mitsubishi Pajero,10000000 ₸,Алматы,"2007 г., Б/у внедорожник, 3 л, бензин, КПП автомат, с пробегом 170 000 км, черный, металлик, литые диски, тонировка, л...  292454₸/мес"
Subaru Outback,7500000 ₸,Алматы,"2010 г., Б/у универсал, 3.6 л, бензин, КПП автомат, с пробегом 286 402 км, серый, тонировка, люк, фаркоп, ксенон, бикс...  219340₸/мес"
BMW 540,19000000 ₸,Алматы,"2017 г., Б/у седан, 3 л, бензин, КПП автомат, белый, металлик, Срочно! Торг минимальный На обмен цена 22.000.000 Так к..."
Changan Qiyuan A07,14500000 ₸,Алматы,"2025 г., новый лифтбек, 1.5 л, гибрид, КПП автомат, Changan Qiyuan A07 2025 — продам. Состояние новое/идеальное Продаё...  Новая"
Land Rover Range Rover Evoque,11300000 ₸,Алматы,"2014 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 178 000 км, черный, металлик, литые диски, тонировка, пан...  312113₸/мес"
Haval H6 GT Special,16890000 ₸,Алматы,"2025 г., новый кроссовер, 2 л, бензин, КПП робот, серый, металлик, литые диски, тонировка, панорамная крыша, багажник,...  Новая Официальный дилер"
Toyota Camry,13500000 ₸,Алматы,"2022 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 77 000 км, белый, металлик, литые диски, тонировка, ксенон,...  394812₸/мес"
Mercedes-Benz S 560,39900000 ₸,Алматы,"2019 г., Б/у седан, 4 л, бензин, КПП автомат, с пробегом 83 000 км, черный, — Очень грамматно одета под 63 AMG! — Руль..."
Li L7 Pro,25864000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, гибрид, КПП автомат  Новая От дилера"
Deepal G318 Secret Edition,11400000 ₸,Алматы,"На заказ, 2025 г., новый внедорожник, 1.5 л, гибрид, КПП автомат  Новая Проверенный продавец"
Lexus NX 300,15890000 ₸,Алматы,"2018 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 106 800 км, Куплена у официального дилера Lexus Center. Э..."
Mitsubishi Pajero,10000000 ₸,Алматы,"2007 г., Б/у внедорожник, 3 л, бензин, КПП автомат, с пробегом 170 000 км, черный, металлик, литые диски, тонировка, л...  292454₸/мес"
Subaru Outback,7500000 ₸,Алматы,"2010 г., Б/у универсал, 3.6 л, бензин, КПП автомат, с пробегом 286 402 км, серый, тонировка, люк, фаркоп, ксенон, бикс...  219340₸/мес"
BMW 540,19000000 ₸,Алматы,"2017 г., Б/у седан, 3 л, бензин, КПП автомат, белый, металлик, Срочно! Торг минимальный На обмен цена 22.000.000 Так к..."
Changan Qiyuan A07,14500000 ₸,Алматы,"2025 г., новый лифтбек, 1.5 л, гибрид, КПП автомат, Changan Qiyuan A07 2025 — продам. Состояние новое/идеальное Продаё...  Новая"
Land Rover Range Rover Evoque,11300000 ₸,Алматы,"2014 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 178 000 км, черный, металлик, литые диски, тонировка, пан...  312113₸/мес"
Haval H6 GT Special,16890000 ₸,Алматы,"2025 г., новый кроссовер, 2 л, бензин, КПП робот, серый, металлик, литые диски, тонировка, панорамная крыша, багажник,...  Новая Официальный дилер"
Toyota Camry,13500000 ₸,Алматы,"2022 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 77 000 км, белый, металлик, литые диски, тонировка, ксенон,...  394812₸/мес"
Mercedes-Benz S 560,39900000 ₸,Алматы,"2019 г., Б/у седан, 4 л, бензин, КПП автомат, с пробегом 83 000 км, черный, — Очень грамматно одета под 63 AMG! — Руль..."
Li L7 Pro,25864000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, гибрид, КПП автомат  Новая От дилера"
Deepal G318 Secret Edition,11400000 ₸,Алматы,"На заказ, 2025 г., новый внедорожник, 1.5 л, гибрид, КПП автомат  Новая Проверенный продавец"
Deepal S09 Ultra+,25100000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, гибрид, КПП автомат, черный, металлик  Новая Проверенный продавец"
Zeekr 7X Smart Driving,21200000 ₸,Алматы,"На заказ, 2025 г., новый кроссовер, электричество, КПП автомат  Новая Проверенный продавец"
Changan CS55 Plus Tech,11000000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, бензин, КПП робот, белый  Новая Проверенный продавец"
Hongqi E-QM5,8800000 ₸,Алматы,"2025 г., новый седан, электричество, КПП автомат, черный, металлик, литые диски, линзованная оптика, дневные ходовые о...  Новая Проверенный продавец"
Deepal S07 Max 215,13899000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, гибрид, КПП автомат  Новая Проверенный продавец"
Li L7 Pro,23390000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, гибрид, КПП автомат  Новая Проверенный продавец"
Li L9 Pro,34700000 ₸,Алматы,"На заказ, 2025 г., новый внедорожник, 1.5 л, гибрид, КПП автомат, 500 км, белый  Новая Проверенный продавец"
Tank 500 Tech Plus 7,31190000 ₸,Алматы,"2025 г., новый внедорожник, 3 л, бензин, КПП автомат  Новая Официальный дилер"
Toyota Fortuner,15400000 ₸,Алматы,"На заказ, 2023 г., новый внедорожник, 2.7 л, бензин, КПП автомат  Новая Проверенный продавец"
Changan CS55 Plus Tech,11000000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, бензин, КПП робот, белый  Новая Проверенный продавец"
Hongqi E-QM5,8800000 ₸,Алматы,"2025 г., новый седан, электричество, КПП автомат, черный, металлик, литые диски, линзованная оптика, дневные ходовые о...  Новая Проверенный продавец"
Deepal S07 Max 215,13899000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, гибрид, КПП автомат  Новая Проверенный продавец"
Li L7 Pro,23390000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, гибрид, КПП автомат  Новая Проверенный продавец"
Li L9 Pro,34700000 ₸,Алматы,"На заказ, 2025 г., новый внедорожник, 1.5 л, гибрид, КПП автомат, 500 км, белый  Новая Проверенный продавец"
Tank 500 Tech Plus 7,31190000 ₸,Алматы,"2025 г., новый внедорожник, 3 л, бензин, КПП автомат  Новая Официальный дилер"
Toyota Fortuner,15400000 ₸,Алматы,"На заказ, 2023 г., новый внедорожник, 2.7 л, бензин, КПП автомат  Новая Проверенный продавец"
Tank 300 City Plus,16590000 ₸,Алматы,"2023 г., Б/у внедорожник, 2 л, бензин, КПП автомат, 61 306 км  Проверенный продавец"
Lynk & Co 900 2.0T Ultra,35990000 ₸,Алматы,"На заказ, 2025 г., новый кроссовер, 2 л, гибрид, КПП автомат  Новая Проверенный продавец"
EXEED RX Luxury,13500000 ₸,Алматы,"2023 г., Б/у кроссовер, 2 л, бензин, КПП автомат, 31 515 км, черный  Проверенный продавец"
Toyota Camry,12000000 ₸,Алматы,"2021 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 132 000 км, белый, металлик, кожа, климат-контроль, Авто в...  350944₸/мес"
EXEED VX Premium,19390000 ₸,Алматы,"2025 г., новый кроссовер, 2 л, бензин, КПП автомат  Новая Проверенный продавец"
Kia Cee'd,9800000 ₸,Алматы,"2023 г., Б/у хэтчбек, 1.6 л, бензин, КПП автомат, с пробегом 35 000 км, черный, металлик, литые диски, тонировка, хрус...  286605₸/мес"
Toyota Camry,22700000 ₸,Алматы,"2024 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 14 223 км, серый, литые диски, люк, ксенон, биксенон, хруст...  584907₸/мес"
BYD Destroyer 05,8600000 ₸,Алматы,"2025 г., новый седан, 1.5 л, гибрид, КПП автомат, ЗИМНИЕ ШИНЫ в подорок-готовьтесь к зиме выгодно! В кредит или рассро...  Новая"
Mercedes-Benz G 63 AMG,35000000 ₸,Алматы,"2014 г., Б/у внедорожник, 5.5 л, бензин, КПП автомат, черный, Машина в отличном состоянии, очень много вложено денег в..."
Volkswagen Golf,2000000 ₸,Алматы,"1995 г., Б/у хэтчбек, 2.8 л, бензин, КПП автомат, хамелеон, дерево, алькантара, аудиосистема, ГУР, ABS, зимний режим,..."
Tank 300,18200000 ₸,Алматы,"2023 г., Б/у внедорожник, 2 л, бензин, КПП автомат, с пробегом 44 000 км, белый, Комплектация TechPlus все дифлоки, ко...  502695₸/мес"
Kia Sorento,22500000 ₸,Алматы,"2024 г., Б/у кроссовер, 2.5 л, бензин, КПП автомат, с пробегом 20 300 км, серый, литые диски, тонировка, ксенон, биксе...  584907₸/мес"
Toyota Land Cruiser Prestige,33500000 ₸,Алматы,"2025 г., новый внедорожник, 4 л, бензин, КПП механика  Новая Проверенный продавец"
BYD Destroyer 05,8600000 ₸,Алматы,"2025 г., новый седан, 1.5 л, гибрид, КПП автомат, ЗИМНИЕ ШИНЫ в подорок-готовьтесь к зиме выгодно! В кредит или рассро...  Новая"
Mercedes-Benz G 63 AMG,35000000 ₸,Алматы,"2014 г., Б/у внедорожник, 5.5 л, бензин, КПП автомат, черный, Машина в отличном состоянии, очень много вложено денег в..."
Volkswagen Golf,2000000 ₸,Алматы,"1995 г., Б/у хэтчбек, 2.8 л, бензин, КПП автомат, хамелеон, дерево, алькантара, аудиосистема, ГУР, ABS, зимний режим,..."
Tank 300,18200000 ₸,Алматы,"2023 г., Б/у внедорожник, 2 л, бензин, КПП автомат, с пробегом 44 000 км, белый, Комплектация TechPlus все дифлоки, ко...  502695₸/мес"
Kia Sorento,22500000 ₸,Алматы,"2024 г., Б/у кроссовер, 2.5 л, бензин, КПП автомат, с пробегом 20 300 км, серый, литые диски, тонировка, ксенон, биксе...  584907₸/мес"
Toyota Land Cruiser Prestige,33500000 ₸,Алматы,"2025 г., новый внедорожник, 4 л, бензин, КПП механика  Новая Проверенный продавец"
Mercedes-Benz S 63 AMG,145500000 ₸,Алматы,"2024 г., Б/у седан, 4 л, гибрид, КПП автомат, с пробегом 14 000 км, Обмен не рассматриваю! Только наличный расчет! Тор..."
BMW X5,35500000 ₸,Алматы,"2022 г., Б/у кроссовер, 3 л, бензин, КПП автомат, с пробегом 45 000 км, Машина как новая, в идеальном состоянии Без ка...  584575₸/мес"
Land Rover Range Rover Velar Dynamic SE,58183700 ₸,Алматы,"2025 г., новый кроссовер, 2 л, бензин, КПП автомат, 15 км, синий, металлик  Новая Официальный дилер"
Mazda 626,300000 ₸,Алматы,"1988 г., Б/у универсал, 2 л, бензин, КПП механика, с пробегом 150 000 км, синий, велюр, Авто на ходу универсал вложени..."
Chery Tiggo 7 Pro Max,8900000 ₸,Алматы,"2023 г., Б/у кроссовер, 1.6 л, бензин, КПП автомат, с пробегом 19 500 км, серебристый, литые диски, тонировка, панорам...  245824₸/мес"
Geely Galaxy Starship 7,14499000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, гибрид, КПП автомат, 15 км, серый, металлик, литые диски, люк, панорамная крыша, рейл...  Новая"
BMW X5,31500000 ₸,Алматы,"2020 г., Б/у кроссовер, 3 л, дизель, КПП автомат, черный, литые диски, тонировка, люк, панорамная крыша, спойлер, обве...  584575₸/мес"
Hyundai Elantra,13900000 ₸,Алматы,"2024 г., Б/у седан, 1.6 л, бензин, КПП автомат, с пробегом 13 000 км, белый, металлик, литые диски, тонировка, ветрови...  406511₸/мес"
Chevrolet TrailBlazer,13300000 ₸,Алматы,"2020 г., Б/у внедорожник, 3.6 л, бензин, КПП автомат, 29 426 км, белый  Проверенный продавец"
BMW i3,11000000 ₸,Алматы,"2018 г., Б/у хэтчбек, 0.7 л, гибрид, КПП автомат, с пробегом 74 400 км, красный, люк, хрустальная оптика, комбинирован..."
Hyundai Elantra,9000000 ₸,Алматы,"2023 г., Б/у седан, 1.5 л, бензин, КПП вариатор, с пробегом 39 000 км, хамелеон, металлик, литые диски, люк, панорамна...  263208₸/мес"
Mercedes-Benz G 63 AMG,45000000 ₸,Алматы,"2016 г., Б/у внедорожник, 5.5 л, бензин, КПП автомат, с пробегом 135 000 км, Машина полностью в родном лакокрасочном п..."
Mercedes-Benz GL 450,11000000 ₸,Алматы,"2007 г., Б/у внедорожник, 4.7 л, бензин, КПП автомат, с пробегом 160 000 км, черный, биксенон, хрустальная оптика, лин...  268083₸/мес"
BYD Destroyer 05,8500000 ₸,Алматы,"2025 г., новый седан, 1.5 л, гибрид, КПП робот, черный, Без первоначального взноса! В наличий есть Все марки А так же...  Новая"
Hyundai Elantra,13900000 ₸,Алматы,"2024 г., Б/у седан, 1.6 л, бензин, КПП автомат, с пробегом 13 000 км, белый, металлик, литые диски, тонировка, ветрови...  406511₸/мес"
Chevrolet TrailBlazer,13300000 ₸,Алматы,"2020 г., Б/у внедорожник, 3.6 л, бензин, КПП автомат, 29 426 км, белый  Проверенный продавец"
BMW i3,11000000 ₸,Алматы,"2018 г., Б/у хэтчбек, 0.7 л, гибрид, КПП автомат, с пробегом 74 400 км, красный, люк, хрустальная оптика, комбинирован..."
Hyundai Elantra,9000000 ₸,Алматы,"2023 г., Б/у седан, 1.5 л, бензин, КПП вариатор, с пробегом 39 000 км, хамелеон, металлик, литые диски, люк, панорамна...  263208₸/мес"
Mercedes-Benz G 63 AMG,45000000 ₸,Алматы,"2016 г., Б/у внедорожник, 5.5 л, бензин, КПП автомат, с пробегом 135 000 км, Машина полностью в родном лакокрасочном п..."
Mercedes-Benz GL 450,11000000 ₸,Алматы,"2007 г., Б/у внедорожник, 4.7 л, бензин, КПП автомат, с пробегом 160 000 км, черный, биксенон, хрустальная оптика, лин...  268083₸/мес"
BYD Destroyer 05,8500000 ₸,Алматы,"2025 г., новый седан, 1.5 л, гибрид, КПП робот, черный, Без первоначального взноса! В наличий есть Все марки А так же...  Новая"
Kia Sportage,12600000 ₸,Алматы,"2024 г., новый кроссовер, 2 л, бензин, КПП автомат, белый, металлик, литые диски, панорамная крыша, лебёдка, багажник,...  Новая"
Changan X5 Plus,8750000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, бензин, КПП робот, черный, литые диски, люк, панорамная крыша, кожа, ГУР, ABS, SRS, с...  Новая"
Toyota Highlander,11500000 ₸,Алматы,"2011 г., Б/у кроссовер, 3.5 л, бензин, КПП автомат, с пробегом 334 200 км, черный, литые диски, тонировка, ветровики,...  336322₸/мес"
Deepal G318,18600000 ₸,Алматы,"2025 г., новый внедорожник, 1.5 л, гибрид, КПП автомат, черный, металлик, литые диски, люк, панорамная крыша, хрусталь...  Новая"
Volkswagen Passat,3200000 ₸,Алматы,"2005 г., Б/у седан, 1.8 л, бензин, КПП автомат, серебристый, тонировка, люк, кожа, аудиосистема, ГУР, ABS, полный элек...  98253₸/мес"
Li L7,28500000 ₸,Алматы,"2025 г., Б/у кроссовер, 1.5 л, гибрид, КПП автомат, с пробегом 2 800 км, Доброго дня суток! Продаю Li7 Pro рестайлинго...  584575₸/мес"
Hongqi E-QM5,8600000 ₸,Алматы,"2025 г., новый седан, электричество, КПП автомат, 50 км, С допами на 400000 Новая без пробега Зима лето Скидки нет цен...  Новая"
Chevrolet Tracker,9500000 ₸,Алматы,"2025 г., Б/у кроссовер, 1.2 л, бензин, КПП автомат, с пробегом 562 км, белый, литые диски, панорамная крыша, багажник,...  262396₸/мес"
Hyundai Sonata,7200000 ₸,Алматы,"2019 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 173 000 км, синий, металлик, литые диски, тонировка, линзован..."
BYD Seal 05,8799000 ₸,Алматы,"2025 г., новый седан, 1.5 л, гибрид, КПП вариатор, ЗИМНИЕ ШИНЫ в подарок — готовьтесь к зиме выгодно! Запас хода: 2000...  Новая"
Volkswagen Touareg,7800000 ₸,Алматы,"2007 г., Б/у кроссовер, 3.6 л, бензин, КПП автомат, серый, ксенон, биксенон, кожа, дерево, кондиционер, налог уплачен,...  190095₸/мес"
Chevrolet Lacetti,6800000 ₸,Алматы,"2023 г., Б/у седан, 1.5 л, бензин, КПП автомат, с пробегом 60 000 км, биксенон, хрустальная оптика, дневные ходовые ог...  187821₸/мес"
ГАЗ ГАЗель,7700000 ₸,Алматы,"2019 г., Б/у фургон, 2.7 л, бензин, КПП механика, с пробегом 144 000 км, белый, металлик, хрустальная оптика, дневные...  225190₸/мес"
Mercedes-Benz GLE 53 AMG,81000000 ₸,Алматы,"2025 г., Б/у кроссовер, 3 л, бензин, КПП автомат, с пробегом 3 200 км, черный, металлик, литые диски, тонировка, панор..."
Toyota Camry,25000000 ₸,Алматы,"2025 г., новый седан, 2.5 л, бензин, КПП автомат, 210 км, металлик  Новая"
Mercedes-Benz C 240,3000000 ₸,Алматы,"1998 г., Б/у седан, 2.4 л, бензин, КПП автомат, с пробегом 215 000 км, серебристый, металлик, литые диски, ветровики,..."
ВАЗ (Lada) Granta 2190 Classic'24,6090000 ₸,Алматы,"2025 г., новый седан, 1.6 л, бензин, КПП механика  Новая Проверенный продавец"
Kia Rio,4880000 ₸,Алматы,"2014 г., Б/у седан, 1.6 л, бензин, КПП автомат, с пробегом 252 325 км, белый, велюр, кондиционер, подогрев сидений  150646₸/мес Гарантия Авто от Kolesa.kz 5% первоначальный взнос"
GAC GS8 GX,21490000 ₸,Алматы,"2024 г., новый кроссовер, 2 л, бензин, КПП автомат, серебристый, металлик, литые диски, тонировка, рейлинги, дневные х...  Новая Проверенный продавец"
GAC GS3 Standart,9990000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, бензин, КПП автомат  Новая Проверенный продавец"
Deepal S09 Ultra+,25590000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, гибрид, КПП автомат, 13 км, синий, металлик  Новая От дилера"
Toyota Camry,4700000 ₸,Алматы,"На заказ, 2003 г., Б/у седан, 2.4 л, бензин, КПП автомат, серебристый, металлик, велюр, Машины находится В Каскелене  144310₸/мес"
Li L6,20300000 ₸,Алматы,"2024 г., Б/у кроссовер, 1.5 л, гибрид, КПП автомат, с пробегом 50 000 км, черный, металлик, Продаю Li L6 PRO, авто в и..."
Maserati GranCabrio Folgore,123020000 ₸,Алматы,"2024 г., новый кабриолет, электричество, КПП автомат, синий, литые диски, линзованная оптика, дневные ходовые огни, ко...  Новая Официальный дилер"
Chery Tiggo 4 Pro Premium,6800000 ₸,Алматы,"2022 г., Б/у кроссовер, 1.5 л, бензин, КПП вариатор, 34 096 км, красный, литые диски, тонировка, ветровики, рейлинги,...  Проверенный продавец"
Geely Emgrand Standard,7290000 ₸,Алматы,"2025 г., новый седан, 1.5 л, бензин, КПП механика, серый  Новая Официальный дилер"
Hyundai Creta,8750000 ₸,Алматы,"2021 г., Б/у кроссовер, 1.6 л, бензин, КПП автомат, с пробегом 130 000 км, белый, литые диски, противотуманки, коррект...  241681₸/мес"
Rox 01 VIP,29500000 ₸,Алматы,"На заказ, 2025 г., новый внедорожник, 1.5 л, гибрид, КПП автомат, черный  Новая Проверенный продавец"
Haval H6 GT Tech Plus,13737300 ₸,Алматы,"2025 г., новый кроссовер, 2 л, бензин, КПП автомат, бордовый, спойлер, корректор фар, обогрев зеркал, кожа, аудиосисте...  Новая Официальный дилер"
Porsche Boxster,51000000 ₸,Алматы,"2022 г., Б/у родстер, 2 л, бензин, КПП робот, с пробегом 4 500 км, белый, линзованная оптика, противотуманки, омывател..."
BMW X5,80393575 ₸,Алматы,"2025 г., новый кроссовер, 3 л, бензин, КПП автомат, серый, металлик, люк, панорамная крыша, хрустальная оптика, линзов...  Новая Официальный дилер"
Toyota Yaris,4450000 ₸,Алматы,"2010 г., Б/у седан, 1.5 л, бензин, КПП автомат, с пробегом 156 780 км, Без вложении! Машина без удара  130142₸/мес"
Subaru Outback,4500000 ₸,Алматы,"2005 г., Б/у универсал, 2.5 л, бензин, КПП автомат, с пробегом 777 777 км, черный, металлик, литые диски, тонировка, л...  146296₸/мес"
Changan X5 Plus,8900000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, бензин, КПП робот, белый, литые диски, люк, панорамная крыша, линзованная оптика, кож...  Новая"
Zeekr 001,37100000 ₸,Алматы,"2024 г., Б/у лифтбек, электричество, КПП автомат, с пробегом 4 700 км, Zeekr 001 FR Мощность: 1265 л. С. Разгон 0-100..."
Toyota Highlander,7000000 ₸,Алматы,"2003 г., Б/у кроссовер, 3 л, бензин, КПП автомат, с пробегом 150 000 км, белый, металлик, литые диски, хрустальная опт...  189643₸/мес"
Toyota Raum,2500000 ₸,Алматы,"1997 г., Б/у минивэн, 1.5 л, бензин, Правый руль, КПП автомат, с пробегом 400 000 км, фиолетовый, тонировка, спойлер,..."
Rox 01,30000000 ₸,Алматы,"2025 г., Б/у внедорожник, 1.5 л, гибрид, КПП автомат, с пробегом 8 100 км, белый, металлик, кожа, спортивный режим, кр..."
Kia K5,11900000 ₸,Алматы,"2021 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 64 000 км, белый, литые диски, тонировка, аудиосистема, bluet...  348020₸/мес"
BYD Song Plus,15799000 ₸,Алматы,"2025 г., новый кроссовер, 1.5 л, гибрид, КПП вариатор  Новая Проверенный продавец"
BYD Song Plus,13700000 ₸,Алматы,"2025 г., Б/у кроссовер, электричество, КПП автомат, с пробегом 10 500 км, черный, Автомобиль был куплен в июне 2025 го..."
Volkswagen Touareg,7700000 ₸,Алматы,"2007 г., Б/у кроссовер, 3 л, дизель, КПП автомат, с пробегом 242 000 км, зеленый, металлик, литые диски, тонировка, би...  187658₸/мес"
Kia Cerato,9200000 ₸,Алматы,"2019 г., Б/у седан, 1.6 л, бензин, КПП автомат, с пробегом 116 000 км, серый, литые диски, тонировка, кожа, аудиосисте...  269058₸/мес"
BYD Destroyer 05,8200000 ₸,Алматы,"2025 г., новый седан, 1.5 л, гибрид, КПП автомат, белый, металлик, Цена за наличный расчёт! Торга нет. Авто на кз номе...  Новая"
Changan CS55 Plus Comfort,15690000 ₸,Алматы,"2026 г., новый кроссовер, 1.5 л, бензин, КПП робот, серый, литые диски, люк, панорамная крыша, кожа, комбинированный,...  Новая Проверенный продавец"
Subaru Legacy,6200000 ₸,Алматы,"2007 г., Б/у седан, 3 л, бензин, КПП автомат, серый, металлик, литые диски, тонировка, люк, ксенон, линзованная оптика...  181322₸/мес"
Hyundai Santa Fe,21035707 ₸,Алматы,"2024 г., Б/у кроссовер, 2.5 л, бензин, КПП автомат, с пробегом 34 000 км, коричневый, металлик, литые диски, тонировка...  584907₸/мес"
